회차,추첨일,1등 당첨금액,1등 당첨자수,1등 번호
1,2002-12-07,0원,0명,"10, 23, 29, 33, 37, 40"
2,2002-12-14,"2,002,006,800원",1명,"9, 13, 21, 25, 32, 42"
3,2002-12-21,"2,000,000,000원",1명,"11, 16, 19, 21, 27, 31"
4,2002-12-28,0원,0명,"14, 27, 30, 31, 40, 42"
5,2003-01-04,0원,0명,"16, 24, 29, 40, 41, 42"
6,2003-01-11,"6,574,451,700원",1명,"14, 15, 26, 27, 40, 42"
7,2003-01-18,0원,0명,"2, 9, 16, 25, 26, 40"
8,2003-01-25,0원,0명,"8, 19, 25, 34, 37, 39"
9,2003-02-01,0원,0명,"2, 4, 16, 17, 36, 39"
10,2003-02-08,"6,430,437,900원",13명,"9, 25, 30, 33, 41, 44"
11,2003-02-15,"4,780,152,300원",5명,"1, 7, 36, 37, 41, 42"
12,2003-02-22,"1,348,845,700원",12명,"2, 11, 21, 25, 39, 45"
13,2003-03-01,0원,0명,"22, 23, 25, 37, 38, 42"
14,2003-03-08,"9,375,048,300원",4명,"2, 6, 12, 31, 33, 40"
15,2003-03-15,"17,014,245,000원",1명,"3, 4, 16, 30, 31, 37"
16,2003-03-22,"4,377,146,100원",4명,"6, 7, 24, 37, 38, 40"
17,2003-03-29,"5,349,491,200원",3명,"3, 4, 9, 17, 32, 37"
18,2003-04-05,0원,0명,"3, 12, 13, 19, 32, 35"
19,2003-04-12,"40,722,959,400원",1명,"6, 30, 38, 39, 40, 43"
20,2003-04-19,"19,352,212,800원",1명,"10, 14, 18, 20, 23, 30"
21,2003-04-26,"797,475,400원",23명,"6, 12, 17, 18, 31, 32"
22,2003-05-03,"4,552,194,900원",4명,"4, 5, 6, 8, 17, 39"
23,2003-05-10,"4,317,947,700원",4명,"5, 13, 17, 18, 33, 42"
24,2003-05-17,0원,0명,"7, 8, 27, 29, 36, 43"
25,2003-05-24,"24,227,745,300원",2명,"2, 4, 21, 26, 43, 44"
26,2003-05-31,"3,495,069,900원",5명,"4, 5, 7, 18, 20, 25"
27,2003-06-07,"9,543,982,500원",2명,"1, 20, 26, 28, 37, 43"
28,2003-06-14,"1,700,361,100원",10명,"9, 18, 23, 25, 35, 37"
29,2003-06-21,"3,552,594,000원",5명,"1, 5, 13, 34, 39, 40"
30,2003-06-28,"8,728,555,500원",2명,"8, 17, 20, 35, 36, 44"
31,2003-07-05,"8,106,672,900원",2명,"7, 9, 18, 23, 28, 35"
32,2003-07-12,"1,634,528,300원",10명,"6, 14, 19, 25, 34, 44"
33,2003-07-19,"14,903,517,600원",1명,"4, 7, 32, 33, 40, 41"
