Section,Number,Title,Link,Timestamp
종합,1,"한동훈 ""尹, 직무집행 정지 필요""…탄핵 찬성입장 밝혀(2보)",https://news.nate.com/view/20241206n07147?mid=n1006,2024-12-06 02:24:59
종합,2,"한동훈 ""尹 극단행동 재연 우려, 직무정지 필요""…탄핵불가 번복(종합)",https://news.nate.com/view/20241206n08983?mid=n1006,2024-12-06 02:24:59
종합,3,"[속보] 민주 ""2차계엄 관련 제보 많아…의원 전원 비상대기""",https://news.nate.com/view/20241206n11222?mid=n1006,2024-12-06 02:24:59
종합,4,"""이번에는 도저히 못 넘어가"" 국민의힘 당원, 탈당 인증",https://news.nate.com/view/20241206n02610?mid=n1006,2024-12-06 02:24:59
종합,5,"[속보] 이재명 ""계엄 선포, 대통령이 권력 유지 위해 벌인 반란""",https://news.nate.com/view/20241206n07967?mid=n1006,2024-12-06 02:24:59
경제,1,[팩트체크] 결혼 축의금 얼마 내면 적당할까?,https://news.nate.com/view/20241206n03255?mid=n1006,2024-12-06 02:25:00
경제,2,"최상목, 외신에 ""계엄사태 경제 영향 제한적…침체 우려는 과도""",https://news.nate.com/view/20241206n01177?mid=n1006,2024-12-06 02:25:00
경제,3,"""테이크아웃"" 말한 손님, 매장서 일회용품 취식…점주 과태료 안 낸다",https://news.nate.com/view/20241206n09211?mid=n1006,2024-12-06 02:25:00
경제,4,"'지분 경쟁 과열' 고려아연, 시총 5위로 우뚝 [특징주]",https://news.nate.com/view/20241206n08622?mid=n1006,2024-12-06 02:25:00
경제,5,"비상 계엄 사태에 ""절망적""…자영업자 가슴에 대못 박았다",https://news.nate.com/view/20241206n03328?mid=n1006,2024-12-06 02:25:00
IT,1,덩치 키우는 제약·바이오 업계…작년 M&A 규모 75％ 증가,https://news.nate.com/view/20241206n02981?mid=n1006,2024-12-06 02:25:01
IT,2,엔씨소프트 신작 '저니 오브 모나크' 글로벌 241개국 서비스 시작,https://news.nate.com/view/20241205n26960?mid=n1006,2024-12-06 02:25:01
IT,3,"네이버, UN에서 AI 안전 정책 사례 공유…""지속 가능한 글로벌 AI ...",https://news.nate.com/view/20241206n08676?mid=n1006,2024-12-06 02:25:01
IT,4,"내년 출시 갤S25용 AI, 베타버전 공개…AI폰 더 치고 나간다",https://news.nate.com/view/20241206n04385?mid=n1006,2024-12-06 02:25:01
IT,5,"SKT-SKB, AIDC 사업부 신설…GPU 클라우드 선점 속도",https://news.nate.com/view/20241205n33652?mid=n1006,2024-12-06 02:25:01
세계,1,"美국방장관, 일본 방문 발표…""방한은 추진하다 보류""(종합)",https://news.nate.com/view/20241206n01864?mid=n1006,2024-12-06 02:25:02
세계,2,"""유언장 받았다""…20대女, 80대 남친 병상에서 '댄스'(영상)",https://news.nate.com/view/20241206n01345?mid=n1006,2024-12-06 02:25:02
세계,3,"""옆에서 밥 먹는데""…식당서 아이 대변 기저귀 당당 교체한 女에 '눈살...",https://news.nate.com/view/20241206n02159?mid=n1006,2024-12-06 02:25:02
세계,4,美 캘리포니아 북부 해안 7.0 지진…쓰나미 발령 후 해제(종합2보),https://news.nate.com/view/20241206n01728?mid=n1006,2024-12-06 02:25:02
세계,5,"""야생 백두산 호랑이, 30년만에 카메라 포착""",https://news.nate.com/view/20241206n02497?mid=n1006,2024-12-06 02:25:02
