Title,Link,Description,word_count,ad_keywords_count,has_ad_phrases,has_ad,keyword_ratio,frequent_expressions,sentiment_score,sentiment_label,tag_cnt,image_cnt
HP 빅터스 16 가성비 게이밍 노트북 리뷰,https://blog.naver.com/ggs0011/223652439685,"HP 빅터스 16 가성비 게이밍 노트북 리뷰 오늘은 가성비 게이밍 노트북으로 유명한 HP 빅터스 16 리뷰로 스펙부터 특징 및 가격까지 알아보는 시간을 갖도록 할 텐데, 오늘 소개해 드리는 빅터스 16 경우 유명... ",32,0,0,0,0.0,"{'빅터스': 3, '16': 3, 'HP': 2, '가성비': 2, '게이밍': 2}",0.0,중립,0,0
울트라 7 탑재 가성비 노트북 에이수스 비보북 S 16 OLED 리뷰,https://blog.naver.com/tlwmzp123/223614401911,"코어 울트라 7 155H 프로세서에 16GB 온보드 램, 1.5kg 정도의 가벼운 무게의 #16인치 노트북이니... 여기까지 에이수스 #비보북S 16 OLED 노트북 리뷰였습니다. -이 포스팅은 쿠팡 파트너스 활동의 일환으로... ",27,1,1,1,0.037037037037037035,"{'코어': 1, '울트라': 1, '7': 1, '155H': 1, '프로세서에': 1}",0.0,중립,2,0
갤럭시북5 Pro 360 리뷰: 태블릿과 노트북을 넘나드는... ,https://blog.naver.com/sinsungcns/223652075039,그럼 바로 제품의 리뷰글을 보러 가실까요? 갤럭시북5 Pro 360은 노트북과 태블릿의 경계를 허물며... 뉴스룸 바로가기 : https://me2.do/xpryvI0W #해시태그 #갤럭시북5Pro360 #노트북리뷰 #태블릿모드 #AI기능 #S펜활용... ,23,0,0,0,0.0,"{'제품의': 1, '리뷰글을': 1, '보러': 1, '가실까요?': 1, '갤럭시북5': 1}",0.0,중립,6,0
갤럭시 북4 엣지 Copilot+ PC 14인치 ARM 노트북 리뷰,https://blog.naver.com/lucky_box7/223494610207,"이전 갤럭시 북4 시리즈 리뷰도 했지만 기본 구성품은 크게 다르지 않습니다. 갤럭시 북4 엣지 노트북 본체와 USB-C to USB-C 충전 케이블, 65W 충전 어댑터 구성입니다. 디자인 역시 비슷하다고 보면... ",29,0,0,0,0.0,"{'갤럭시': 2, '북4': 2, 'USB-C': 2, '충전': 2, '이전': 1}",0.0,중립,0,0
삼성전자 갤럭시북4 프로360 AI 인공지능 노트북 리뷰,https://blog.naver.com/j2ymoon/223462216399,이렇게 리뷰하게 되었습니다. 삼성 갤럭시북4 프로 360 NT960QGK-K71A 모델명: NT960QGK-K71A 명칭... 삼성에서 이렇듯 완성도 있게 노트북을 내놨는데 기존 갤럭시북3 프로를 쓰는 저희는 슬슬 바꿈신이 오고... ,25,0,0,0,0.0,"{'NT960QGK-K71A': 2, '이렇게': 1, '리뷰하게': 1, '되었습니다.': 1, '삼성': 1}",0.0,중립,0,0
LG 울트라PC 15UD40R-GX56K 노트북  리뷰,https://blog.naver.com/fnzkwm/223596643083,"극한의 가성비를 따지면서 살아왔기에 최근까지도 계속 실사용하고 있었던 한성노트북 B34가 너무 느려지고 답답해져서, 큰맘 먹고 구입한 LG 노트북입니다 ㅎ (https://blog.naver.com/fnzkwm/220388567244 &amp; 한성 B34... ",23,0,0,0,0.0,"{'극한의': 1, '가성비를': 1, '따지면서': 1, '살아왔기에': 1, '최근까지도': 1}",0.0,중립,0,0
에이서 프레데터 헬리오스 18 게이밍 노트북 리뷰 최상의 성능,https://blog.naver.com/joytoseon/223485576247,게이밍 노트북의 세계에서 최상위 성능과 혁신적인 디자인을 찾고 있다면 에이서 프레데터 헬리오스 18 게이밍 노트북은 주목할 만한 제품입니다. 이 포스팅에서는 이 노트북의 주요 특징과 실제 사용... ,26,0,0,0,0.0,"{'게이밍': 2, '노트북의': 2, '세계에서': 1, '최상위': 1, '성능과': 1}",0.0,중립,0,0
HP 13인치 휴대용 노트북 리뷰 (13-BE2062AU) 윈도우11 초기... ,https://blog.naver.com/kbjgpfks/223435777335,안녕하세요~ 오늘은 정말 오랜만에 노트북 리뷰입니다. 요즘은 태블릿 사용 비중이 높아져서 노트북 말고 태블릿 구매를 고려하기도 했는데요. 태블릿보다 휴대성 면에서 조금 떨어지긴 하나 노트북이... ,24,0,0,0,0.0,"{'노트북': 2, '태블릿': 2, '안녕하세요~': 1, '오늘은': 1, '정말': 1}",0.0,중립,0,0
쿠팡에서 산 가성비 노트북 리뷰 빅트랙 512GB • 8GB,https://blog.naver.com/akadora0566/223510655535,"리뷰를 남기고 인증하면 정품 as기간 연장해줘서 적는 슬픈 사연의 리뷰... 회사 특성상 내부... 있는 노트북을 들고 다니곤 했는데 인간은, 아니 나는 게으른 동물이라 몹시 번거로웠다 그래서 알리에서... ",27,0,0,0,0.0,"{'리뷰를': 1, '남기고': 1, '인증하면': 1, '정품': 1, 'as기간': 1}",0.0,중립,0,0
영화 &lt;노트북&gt; 리뷰: 클리셰적 정통 로맨스,https://blog.naver.com/pinksky-73/223634691569,넷플릭스에서 본 로맨스 영화 &lt;노트북&gt; 리뷰. 레이첼 맥아담스가 배우 생활 초창기에 라이언 고슬링과 함께 찍은 로맨스물이다. 이 작품을 계기로 본격적으로 배우로 뜨게 되었으며 연인 역할로 나온 라이언... ,27,0,0,0,0.0,"{'넷플릭스에서': 1, '본': 1, '로맨스': 1, '영화': 1, '&lt;노트북&gt;': 1}",0.0,중립,0,0
